Provinsi,JumlahCurahHujan
Aceh,1575
Sumatera_Utara,975.9
Sumatera_Barat,3548
Riau,2048.3
Jambi,1694.9
Sumatera_Selatan,1947.2
Bengkulu,2668.9
Lampung,1628.1
Kepulauan_Bangka_Belitung,1534.7
Kepulauan_Riau,2250.9
Daerah_Khusus_Ibukota_Jakarta,2169.5
Jawa_Barat,2199.3
Jawa_Tengah,1620.7
Daerah_Istimewa_Yogyakarta,2045.5
Jawa_Timur,2024.7
Banten,1310.1
Bali,1133.8
Nusa_Tenggara_Barat,1147.9
Nusa_Tenggara_Timur,1406
Kalimantan_Barat,2757.7
Kalimantan_Tengah,2748.4
Kalimantan_Selatan,2509.6
Kalimantan_Timur,2069.4
Kalimantan_Utara,2311.5
Sulawesi_Utara,1807
Sulawesi_Tengah,460.9
Sulawesi_Selatan,3382
Sulawesi_Tenggara,1589.6
Gorontalo,870.6
Sulawesi_Barat,1167.9
Maluku,1987.2
Maluku_Utara,913.4
Papua_Barat,2844.6
Papua,1265.9
