Provinsi,JumlahLuasDaratandanPerairanKawasanHutan(Ha)
Aceh,3557928
Sumatera_Utara,3055794
Sumatera_Barat,2380058
Riau,5499693
Jambi,2098535
Sumatera_Selatan,3466901
Bengkulu,924631
Lampung,1004735
Kepulauan_Bangka_Belitung,654562
Kepulauan_Riau,382131.73
DKI_Jakarta,108475.45
Jawa_Barat,816603
Jawa_Tengah,757250
DI_Yogyakarta,16819.52
Jawa_Timur,1361146
Banten,253254
Bali,130686.01
Nusa_Tenggara_Barat,1046959
Nusa_Tenggara_Timur,1784751
Kalimantan_Barat,8389601
Kalimantan_Tengah,12719707
Kalimantan_Selatan,1779982
Kalimantan_Timur,13855833
Sulawesi_Utara,764739
Sulawesi_Tengah,4274687
Sulawesi_Selatan,2725796
Sulawesi_Tenggara,3830579
Gorontalo,824668
Sulawesi_Barat,1092376
Maluku,3919617
Maluku_Utara,2515220
Papua_Barat,9713137
Papua,30387499
Kalimantan_Utara,13855833
