Provinsi,tahun,distribusi-penduduk,Jumlah-Curah-Hujan (mm),Jumlah-Hari-Hujan,Luas-lahan-sawah,persentase penduduk miskin (perkotaan),Persentase-penduduk-miskin-perdesaan,rata-rata penyinaran matahari
Aceh,2015,1.96,1 575.00,146,290337,10.92,19.56,65.69
Sumatera_Utara,2015,5.46,975.9,105,423465,10.51,11.06,51.86
Sumatera_Barat,2015,2.03,3 548.00,185,226377,5.73,7.35,59.56
Riau,2015,2.48,2 048.30,140,71910,7.05,9.95,50.32
Jambi,2015,1.33,1 694.90,135,94735,12.11,7.82,51.97
Sumatera_Selatan,2015,3.15,1 947.20,138,620632,12.51,14.47,51.19
Bengkulu,2015,0.73,2 668.90,166,85131,18.15,16.71,71.35
Lampung,2015,3.18,1 628.10,151,377463,9.25,15.05,67.89
Kepulauan_Bangka_Belitung,2015,0.54,1 534.70,163,10654,2.77,6.83,59.57
Kepulauan_Riau,2015,0.77,2 250.90,174,246,5,9.75,69.95
Daerah_Khusus_Ibukota_Jakarta,2015,3.98,2 169.50,121,650,3.61,-,60.12
Jawa_Barat,2015,18.28,2 199.30,177,912794,8.58,11.61,65.51
Jawa_Tengah,2015,13.22,1 620.70,140,965262,11.5,14.86,85.05
Daerah_Istimewa_Yogyakarta,2015,1.44,2 045.50,119,53553,11.93,15.62,75.14
Jawa_Timur,2015,15.21,2 024.70,133,1091752,8.41,15.84,80.12
Banten,2015,4.68,1 310.10,155,199492,5.11,7.12,65.06
Bali,2015,1.63,1 133.80,124,75922,4.52,6.42,84.44
Nusa_Tenggara_Barat,2015,1.89,1 147.90,91,264666,18.4,15.18,84.99
Nusa_Tenggara_Timur,2015,2,1 406.00,82,177238,9.41,25.89,84
Kalimantan_Barat,2015,1.87,2 757.70,215,330724,6,9.51,55.04
Kalimantan_Tengah,2015,0.98,2 748.40,155,196553,5.68,6.02,53.46
Kalimantan_Selatan,2015,1.56,2 509.60,166,450152,4.27,5.06,61.45
Kalimantan_Timur,2015,1.34,2 069.40,186,57000,3.73,10.13,46.97
Kalimantan_Utara,2015,0.25,2 311.50,202,21448,3.68,9.67,63.01
Sulawesi_Utara,2015,0.94,1 807.00,127,55820,5.26,12.1,67.53
Sulawesi_Tengah,2015,1.13,460.9,68,128323,11.06,15.07,79.12
Sulawesi_Selatan,2015,3.34,3 382.00,155,628148,4.93,13.22,66.83
Sulawesi_Tenggara,2015,0.98,1 589.60,141,103812,7.84,16.12,72.51
Gorontalo,2015,0.44,870.6,76,32058,6.84,24.17,75.19
Sulawesi_Barat,2015,0.5,1 167.90,93,61292,8.69,12.7,78
Maluku,2015,0.66,1 987.20,167,13394,7.83,26.7,66.52
Maluku_Utara,2015,0.45,913.4,127,11802,2.61,7.57,84.07
Papua_Barat,2015,0.34,2 844.60,218,10126,5.68,37.94,61.63
Papua,2015,1.23,1 265.90,168,44462,3.61,37.34,64.47
